machine_id,timestamp,temperature,vibration,pressure,failure,rul
M-001,2024-01-01 00:00:00,72.4,0.42,101.2,0,145
M-001,2024-01-01 06:00:00,74.1,0.45,100.8,0,139
M-001,2024-01-01 12:00:00,78.3,0.51,99.5,0,133
M-001,2024-01-01 18:00:00,81.0,0.62,98.1,0,127
M-001,2024-01-02 00:00:00,85.2,0.78,97.0,0,121
M-001,2024-01-02 06:00:00,88.7,0.91,95.4,0,115
M-001,2024-01-02 12:00:00,92.1,1.12,94.0,0,109
M-001,2024-01-02 18:00:00,96.4,1.35,92.2,1,0
M-002,2024-01-01 00:00:00,68.0,0.31,102.0,0,200
M-002,2024-01-01 06:00:00,69.2,0.33,101.7,0,194
M-002,2024-01-01 12:00:00,70.5,0.35,101.5,0,188
M-002,2024-01-01 18:00:00,71.1,0.36,101.2,0,182
M-002,2024-01-02 00:00:00,72.0,0.38,100.9,0,176
M-002,2024-01-02 06:00:00,73.4,0.40,100.5,0,170
M-002,2024-01-02 12:00:00,74.8,0.42,100.1,0,164
M-002,2024-01-02 18:00:00,75.2,0.44,99.8,0,158
M-003,2024-01-01 00:00:00,80.1,0.55,98.5,0,90
M-003,2024-01-01 06:00:00,83.4,0.68,97.2,0,84
M-003,2024-01-01 12:00:00,87.0,0.82,95.8,0,78
M-003,2024-01-01 18:00:00,90.5,0.97,94.1,0,72
M-003,2024-01-02 00:00:00,94.2,1.15,92.5,0,66
M-003,2024-01-02 06:00:00,97.8,1.40,90.8,0,60
M-003,2024-01-02 12:00:00,101.3,1.65,89.0,1,0
M-003,2024-01-02 18:00:00,70.0,0.30,102.1,0,200
M-004,2024-01-01 00:00:00,65.5,0.28,103.0,0,220
M-004,2024-01-01 06:00:00,66.2,0.29,102.8,0,214
M-004,2024-01-01 12:00:00,67.0,0.30,102.5,0,208
M-004,2024-01-01 18:00:00,67.8,0.31,102.2,0,202
M-004,2024-01-02 00:00:00,68.5,0.32,102.0,0,196
M-004,2024-01-02 06:00:00,69.1,0.33,101.7,0,190
M-004,2024-01-02 12:00:00,70.0,0.35,101.4,0,184
M-004,2024-01-02 18:00:00,70.8,0.36,101.0,0,178
M-005,2024-01-01 00:00:00,76.0,0.48,100.0,0,110
M-005,2024-01-01 06:00:00,78.5,0.55,99.2,0,104
M-005,2024-01-01 12:00:00,81.2,0.66,98.0,0,98
M-005,2024-01-01 18:00:00,84.0,0.79,96.5,0,92
M-005,2024-01-02 00:00:00,87.5,0.95,95.0,0,86
M-005,2024-01-02 06:00:00,91.0,1.18,93.2,0,80
M-005,2024-01-02 12:00:00,95.5,1.42,91.0,1,0
M-005,2024-01-02 18:00:00,72.0,0.40,101.5,0,150
M-006,2024-01-01 00:00:00,70.2,0.38,101.0,0,160
M-006,2024-01-01 06:00:00,71.5,0.40,100.6,0,154
M-006,2024-01-01 12:00:00,73.0,0.43,100.2,0,148
M-006,2024-01-01 18:00:00,74.8,0.47,99.5,0,142
M-006,2024-01-02 00:00:00,76.5,0.52,98.8,0,136
M-006,2024-01-02 06:00:00,78.2,0.58,98.0,0,130
M-006,2024-01-02 12:00:00,80.0,0.64,97.2,0,124
M-006,2024-01-02 18:00:00,82.1,0.72,96.4,0,118
M-007,2024-01-01 00:00:00,88.0,0.88,96.0,0,55
M-007,2024-01-01 06:00:00,91.5,1.05,94.5,0,49
M-007,2024-01-01 12:00:00,95.0,1.28,92.8,0,43
M-007,2024-01-01 18:00:00,99.0,1.55,90.5,1,0
M-007,2024-01-02 00:00:00,69.0,0.32,102.0,0,210
M-007,2024-01-02 06:00:00,70.1,0.34,101.6,0,204
M-007,2024-01-02 12:00:00,71.0,0.35,101.3,0,198
M-007,2024-01-02 18:00:00,72.2,0.37,101.0,0,192
M-008,2024-01-01 00:00:00,73.5,0.41,100.5,0,175
M-008,2024-01-01 06:00:00,74.0,0.42,100.3,0,169
M-008,2024-01-01 12:00:00,75.2,0.44,100.0,0,163
M-008,2024-01-01 18:00:00,76.8,0.48,99.4,0,157
M-008,2024-01-02 00:00:00,78.0,0.52,98.9,0,151
M-008,2024-01-02 06:00:00,79.5,0.57,98.2,0,145
M-008,2024-01-02 12:00:00,81.0,0.63,97.5,0,139
M-008,2024-01-02 18:00:00,83.0,0.70,96.8,0,133
